Game;Score;Time;X_position;Cause_of_end
1;456;349;607.625;Enemy
2;1068;0;747.0;Time
3;1028;0;962.5;Time
4;208;217;321.625;Enemy
5;356;0;573.75;Time
6;484;0;864.125;Time
7;208;297;525.5;Enemy
8;668;0;849.25;Time
9;484;0;864.0;Time
10;368;0;862.75;Time
11;484;0;863.625;Time
12;628;0;1184.25;Time
13;176;283;326.25;Enemy
14;500;0;906.0;Time
15;484;0;863.75;Time
16;628;0;1160.375;Time
17;208;378;530.125;Enemy
18;256;386;643.5;Enemy
19;516;0;864.25;Time
20;160;334;397.125;Enemy
21;468;0;864.25;Time
22;856;0;1440;Time
23;524;0;418.375;Time
24;32;0;19.5;Time
25;0;0;74.125;Time
26;0;0;2.125;Time
27;276;0;382.125;Time
28;112;0;179.625;Time
29;556;0;565.5;Time
30;16;0;111.75;Time
31;96;0;65.125;Time
32;292;0;480.0;Time
33;1040;0;1440.125;Time
34;1180;0;976.75;Time
35;64;0;121.375;Time
36;1228;0;1051.375;Time
37;1616;0;1792.375;Time
38;628;0;1182.625;Time
39;1072;0;1422.0;Time
40;1116;0;1646.75;Time
41;2120;114;2208.5;Fall
42;256;218;631.625;Enemy
43;1736;31;2222.0;Fall
44;1820;235;2369.625;Enemy
45;2076;0;2114.625;Time
46;472;378;450.375;Enemy
47;1252;254;1664.625;Enemy
48;1624;247;2242.125;Fall
49;192;338;481.875;Enemy
50;3132;146;3464.0;Enemy
51;1020;0;1433.25;Time
52;2024;111;2240.0;Fall
53;1708;262;2240.125;Fall
54;1872;80;2207.5;Fall
55;1616;0;1792.0;Time
56;1224;134;2238.375;Fall
57;1724;155;2239.875;Fall
58;440;390;610.75;Enemy
59;1724;205;2240.0;Fall
60;1668;316;2551.375;Enemy
61;2196;118;2789.75;Fall
62;440;390;615.875;Enemy
63;1620;294;2432.0;Enemy
64;7294;55;6529.0;Win
65;840;368;1439.5;Enemy
66;4040;77;4002.625;Enemy
67;4088;195;4928.0;Fall
68;1100;0;1792.125;Time
69;968;339;1730.5;Enemy
70;408;374;535.5;Enemy
71;192;377;424.75;Enemy
72;1768;279;2551.25;Enemy
73;3792;300;3868.375;Enemy
74;2540;327;4024.875;Enemy
75;1424;348;2239.75;Fall
76;12394;153;6529.375;Win
77;2476;246;3870.5;Enemy
78;1964;354;2797.625;Fall
79;1624;54;2212.25;Fall
80;1408;360;2237.375;Fall
81;1308;367;2240.5;Fall
82;1308;367;2240.5;Fall
83;1308;367;2240.25;Fall
84;1508;366;2240.25;Fall
85;1308;367;2240.75;Fall
86;18812;270;6528.75;Win
87;1308;367;2240.5;Fall
88;1308;367;2240.0;Fall
89;18862;271;6528.75;Win
90;1508;366;2240.5;Fall
91;1648;360;2774.875;Fall
92;1292;367;2240.75;Fall
93;1476;375;2240.0;Fall
94;1488;317;2487.625;Enemy
95;1408;368;2240.0;Fall
96;18562;257;6528.375;Win
97;1764;361;2798.125;Fall
98;1292;368;2240.25;Fall
99;1292;368;2240.25;Fall
100;1292;368;2240.0;Fall
101;1292;368;2239.875;Fall
102;1376;375;2240.25;Fall
103;1376;375;2238.375;Fall
104;1008;0;1440.0;Time
105;808;0;1440.125;Time
106;256;394;650.25;Enemy
107;256;394;650.25;Enemy
108;256;394;650.25;Enemy
109;256;394;650.25;Enemy
110;256;394;650.25;Enemy
111;256;394;650.25;Enemy
112;256;394;650.25;Enemy
113;256;394;650.25;Enemy
114;256;394;650.25;Enemy
115;256;394;650.25;Enemy
116;256;394;650.25;Enemy
117;256;394;650.25;Enemy
118;256;394;650.25;Enemy
119;256;394;650.25;Enemy
120;256;394;650.25;Enemy
121;256;394;650.25;Enemy
122;256;394;650.125;Enemy
123;256;394;650.25;Enemy
124;256;394;650.25;Enemy
125;256;394;650.125;Enemy
126;256;394;650.25;Enemy
127;256;394;650.125;Enemy
128;1008;0;1440.0;Time
129;4612;310;5495.375;Enemy
130;1488;240;2487.625;Enemy
131;1008;0;1440.0;Time
132;1292;367;2240.5;Fall
133;1292;368;2240.125;Fall
134;1092;369;2240.5;Fall
135;1292;368;2240.125;Fall
136;1292;368;2240.5;Fall
137;1308;366;2240.25;Fall
138;1308;366;2240.0;Fall
139;1308;366;2240.25;Fall
140;1308;366;2240.0;Fall
141;1308;366;2240.125;Fall
142;1308;366;2240.125;Fall
143;1308;366;2240.25;Fall
144;1308;366;2240.0;Fall
145;1308;366;2240.25;Fall
146;1308;366;2240.5;Fall
147;1308;366;2240.5;Fall
148;1308;366;2240.5;Fall
149;1308;366;2240.25;Fall
150;1308;366;2240.25;Fall
151;1308;366;2240.125;Fall
152;1308;366;2240.25;Fall
153;1092;369;2240.5;Fall
154;1292;367;2240.25;Fall
155;1292;367;2240.125;Fall
156;1292;367;2240.125;Fall
157;1008;0;1440.125;Time
158;440;393;627.0;Enemy
159;1008;0;1440;Time
160;496;0;1184.375;Time
161;256;394;650.25;Enemy
162;256;394;650.25;Enemy
163;256;394;650.25;Enemy
164;256;394;650.25;Enemy
165;256;394;650.25;Enemy
166;496;0;1184.375;Time
167;256;394;650.25;Enemy
168;256;394;650.25;Enemy
169;1008;0;1440;Time
170;256;394;650.25;Enemy
171;256;394;650.25;Enemy
172;256;394;650.25;Enemy
173;256;394;650.25;Enemy
174;256;394;650.25;Enemy
175;256;394;650.25;Enemy
176;240;393;631.25;Enemy
177;256;394;650.25;Enemy
178;256;394;650.25;Enemy
179;256;394;650.25;Enemy
180;256;394;650.25;Enemy
181;256;394;649.5;Enemy
182;256;394;650.25;Enemy
183;256;394;650.25;Enemy
184;256;394;650.25;Enemy
185;256;394;650.0;Enemy
186;256;394;648.375;Enemy
187;256;394;650.25;Enemy
188;256;394;649.5;Enemy
189;256;394;650.25;Enemy
190;256;394;650.25;Enemy
191;256;394;649.5;Enemy
192;256;394;650.25;Enemy
193;256;394;648.875;Enemy
194;440;390;613.875;Enemy
195;456;394;650.25;Enemy
196;240;393;626.125;Enemy
197;256;394;650.25;Enemy
198;256;394;650.25;Enemy
199;256;394;650.25;Enemy
200;256;394;650.25;Enemy
201;256;394;650.25;Enemy
202;256;394;650.25;Enemy
203;256;394;650.25;Enemy
204;256;394;650.25;Enemy
205;256;394;650.125;Enemy
206;256;394;650.25;Enemy
207;256;394;650.25;Enemy
208;240;393;626.125;Enemy
209;240;392;625.625;Enemy
210;1224;0;1440;Time
211;1024;0;1440.25;Time
212;1024;0;1441.625;Time
213;1800;0;1792.125;Time
214;1424;0;1440.125;Time
215;1900;0;1792.125;Time
216;824;0;1441.125;Time
217;440;390;612.125;Enemy
218;1424;0;1440.25;Time
219;1808;365;2240.0;Fall
220;724;0;1440.125;Time
221;1440;0;1440;Time
222;1440;0;1440.0;Time
223;1424;0;1440;Time
224;1340;375;1440.125;Enemy
225;1024;0;1440.0;Time
226;1424;0;1440;Time
227;1440;0;1440.0;Time
228;1124;0;1440.125;Time
229;1308;367;2240.125;Fall
230;1308;367;2240.5;Fall
231;1108;366;2240.25;Fall
232;1308;367;2240.5;Fall
233;1308;367;2240.5;Fall
234;1764;360;2798.125;Fall
235;1764;360;2798.125;Fall
236;1764;360;2798.125;Fall
237;1108;366;2240.25;Fall
238;1664;359;2798.125;Fall
239;1764;360;2798.125;Fall
240;1664;359;2798.125;Fall
241;1664;359;2798.125;Fall
242;1764;360;2798.125;Fall
243;1664;359;2798.125;Fall
244;1664;359;2798.125;Fall
245;1308;366;2240.0;Fall
246;1708;365;2240.5;Fall
247;1024;375;1440.0;Enemy
248;1608;364;2240.5;Fall
249;1124;0;1440.125;Time
250;1024;377;1440.125;Enemy
251;1508;365;2240.125;Fall
252;1308;367;2240.5;Fall
253;1308;367;2240.5;Fall
254;1308;367;2240.5;Fall
255;1308;367;2240.5;Fall
256;1308;367;2240.5;Fall
257;1308;367;2240.5;Fall
258;1308;367;2240.5;Fall
259;1308;367;2240.5;Fall
260;1308;367;2240.5;Fall
261;19712;302;6528.75;Win
262;1308;366;2240.5;Fall
263;1308;366;2240.5;Fall
264;1764;361;2798.125;Fall
265;1308;367;2239.75;Fall
266;1008;368;2239.75;Fall
267;1508;366;2239.75;Fall
268;1008;368;2239.75;Fall
269;1508;366;2240.0;Fall
270;256;394;650.25;Enemy
271;256;394;650.25;Enemy
272;256;394;650.25;Enemy
273;21282;323;6529.375;Win
274;4084;0;4448.125;Time
275;1836;364;2551.875;Enemy
276;1492;369;2240.125;Fall
277;1284;0;1792.0;Time
278;1592;368;2240.5;Fall
279;240;392;623.5;Enemy
280;1204;368;2486.625;Enemy
281;240;392;617.0;Enemy
282;1748;365;2798.125;Fall
283;240;392;623.5;Enemy
284;240;392;623.5;Enemy
285;2560;346;3883.5;Enemy
286;22496;310;6529.5;Win
287;724;0;1440.25;Time
288;724;0;1440.25;Time
289;1308;366;2240.5;Fall
290;1108;366;2240.25;Fall
291;1308;365;2240.125;Fall
292;1508;366;2240.5;Fall
293;1508;366;2240.25;Fall
294;1508;366;2240.5;Fall
295;1108;365;2240.125;Fall
296;1108;367;2240.25;Fall
297;1308;367;2240.5;Fall
298;1308;367;2240.5;Fall
299;1308;367;2240.5;Fall
300;1308;367;2240.5;Fall
301;1308;367;2240.5;Fall
302;1308;367;2240.375;Fall
303;1308;367;2240.5;Fall
304;1308;367;2240.5;Fall
305;876;382;1345.625;Enemy
306;2776;356;4024.0;Enemy
307;3576;359;4024.375;Enemy
308;2484;357;3576.125;Enemy
309;1300;0;1792.125;Time
310;20562;303;6528.125;Win
311;20262;303;6528.75;Win
312;1764;360;2798.125;Fall
313;20462;299;6529.375;Win
314;724;0;1440.125;Time
315;1308;366;2240.5;Fall
316;1764;358;2798.125;Fall
317;1652;358;2553.25;Enemy
318;1508;365;2240.5;Fall
319;3928;319;5496.25;Enemy
320;3940;328;4928.25;Fall
321;20812;300;6528.5;Win
322;5872;322;4928.25;Fall
323;3224;343;4023.125;Enemy
324;19862;295;6529.5;Win
325;21080;314;6528.625;Win
326;20262;305;6529.375;Win
327;1140;0;1440.0;Time
328;3416;340;3556.125;Enemy
329;3632;0;4448.25;Time
330;1124;0;1440.0;Time
331;3140;333;4024.5;Enemy
332;240;390;612.125;Enemy
333;676;380;1329.5;Enemy
334;1492;372;2240.0;Fall
335;2180;356;2816.25;Fall
336;2104;368;2489.375;Enemy
337;2264;361;2818.25;Fall
338;1932;371;2815.125;Fall
339;860;386;1326.5;Enemy
340;1888;371;2489.375;Enemy
341;1672;376;2487.75;Enemy
342;1932;371;2815.125;Fall
343;2132;371;2808.875;Fall
344;1832;371;2808.875;Fall
345;1672;376;2487.75;Enemy
346;1716;372;2802.625;Fall
347;708;0;1440.25;Time
348;808;0;1440.25;Time
349;824;0;1440.25;Time
350;1532;373;2816.0;Fall
351;1532;373;2816.0;Fall
352;1276;377;2240.125;Fall
353;2468;365;3562.25;Enemy
354;1276;377;2240.125;Fall
355;4368;0;4448.25;Time
356;1276;377;2240.125;Fall
357;2652;367;3562.25;Enemy
358;1276;377;2240.125;Fall
359;3060;365;4038.0;Enemy
360;1260;379;2240.25;Fall
361;1516;375;2816.0;Fall
362;4352;0;4448;Time
363;1276;376;2240.5;Fall
364;1532;372;2816.0;Fall
365;1532;372;2816.0;Fall
366;1008;0;1440.125;Time
367;2868;365;3563.5;Enemy
368;4368;0;4448.25;Time
369;4752;0;4448.125;Time
370;1276;377;2240.125;Fall
371;4368;0;4448.0;Time
372;1532;371;2816.0;Fall
373;1276;377;2240.125;Fall
374;2868;365;3563.5;Enemy
375;4352;0;4448.0;Time
376;1088;370;2490.25;Enemy
377;240;393;632.125;Enemy
378;240;393;632.125;Enemy
379;256;394;650.25;Enemy
380;256;394;650.25;Enemy
381;256;394;650.25;Enemy
382;256;394;650.25;Enemy
383;2372;370;3366.625;Enemy
384;908;0;1440.25;Time
385;1008;0;1440.25;Time
386;808;0;1440;Time
387;1516;375;2816.0;Fall
388;808;0;1440.0;Time
389;824;0;1440;Time
390;808;0;1440.25;Time
391;1276;376;2240.5;Fall
392;1260;379;2240.25;Fall
393;2852;367;3562.25;Enemy
394;4052;0;4448.125;Time
395;1516;375;2816.0;Fall
396;3076;363;4041.75;Enemy
