Game;Score;Time;X_position;Cause_of_end
1;828;0;977.625;Time
2;176;373;372.75;Enemy
3;1228;0;1174.375;Time
4;1068;0;696.75;Time
5;1044;0;1182.875;Time
6;1256;0;1440.125;Time
7;424;346;380.625;Enemy
8;1504;360;2487.625;Enemy
9;1636;340;2540.125;Enemy
10;1308;367;2240.5;Fall
11;1308;367;2240.5;Fall
12;1308;367;2240.5;Fall
13;1308;367;2240.5;Fall
14;1308;367;2240.125;Fall
15;1308;367;2240.5;Fall
16;1308;367;2240.375;Fall
17;1308;367;2240.125;Fall
18;1308;367;2240.375;Fall
19;1308;367;2240.375;Fall
20;1308;367;2240.5;Fall
21;1308;367;2240.5;Fall
22;1308;367;2240.375;Fall
23;1308;367;2240.125;Fall
24;1308;367;2240.5;Fall
25;1308;367;2240.125;Fall
26;256;394;650.25;Enemy
27;608;328;1440.25;Enemy
28;596;0;1184;Time
29;256;394;650.25;Enemy
30;256;394;650.25;Enemy
31;256;394;650.25;Enemy
32;256;394;650.25;Enemy
33;256;394;650.25;Enemy
34;808;0;1440.125;Time
35;256;394;650.25;Enemy
36;256;394;650.25;Enemy
37;256;394;650.25;Enemy
38;824;0;1440.25;Time
39;256;394;650.25;Enemy
40;256;394;650.25;Enemy
41;256;394;650.25;Enemy
42;724;0;1311.125;Time
43;868;0;1792.25;Time
44;256;394;650.25;Enemy
45;256;394;650.25;Enemy
46;256;394;650.25;Enemy
47;256;394;650.25;Enemy
48;256;394;650.25;Enemy
49;256;394;650.125;Enemy
50;1408;365;2240.25;Fall
51;1108;366;2240.5;Fall
52;1108;366;2240.5;Fall
53;1108;366;2240.5;Fall
54;1108;366;2240.5;Fall
55;1108;366;2240.5;Fall
56;1308;367;2240.375;Fall
57;1308;367;2240.375;Fall
58;1308;367;2240.5;Fall
59;1308;367;2240.5;Fall
60;1308;367;2240.375;Fall
61;1308;367;2240.5;Fall
62;1308;367;2240.5;Fall
63;1308;367;2240.375;Fall
64;1308;367;2240.5;Fall
65;1308;367;2240.5;Fall
66;1308;367;2240.375;Fall
67;1308;367;2240.5;Fall
68;1308;367;2240.5;Fall
69;1308;367;2240.5;Fall
70;1308;367;2240.5;Fall
71;1308;367;2240.5;Fall
72;1308;367;2240.5;Fall
73;1308;367;2240.5;Fall
74;1308;367;2240.5;Fall
75;1308;367;2240.5;Fall
76;1308;367;2240.5;Fall
77;1308;367;2240.5;Fall
78;1308;367;2240.5;Fall
79;1308;367;2240.5;Fall
80;1308;367;2240.125;Fall
81;1308;367;2240.125;Fall
82;1308;367;2240.5;Fall
83;1308;367;2240.375;Fall
84;1308;367;2240.5;Fall
85;1308;367;2240.5;Fall
86;1308;367;2240.5;Fall
87;1308;367;2240.5;Fall
88;1308;367;2240.5;Fall
89;1308;367;2240.5;Fall
90;1308;367;2240.5;Fall
91;1308;367;2240.5;Fall
92;1308;367;2240.5;Fall
93;1308;367;2240.375;Fall
94;1308;367;2240.375;Fall
95;1308;367;2240.375;Fall
96;1308;367;2240.375;Fall
97;1308;367;2240.375;Fall
98;1308;367;2240.375;Fall
99;1308;367;2240.5;Fall
100;1308;367;2240.5;Fall
101;1308;367;2240.5;Fall
102;1308;367;2240.5;Fall
103;1308;367;2240.375;Fall
104;1308;367;2240.375;Fall
105;1308;367;2240.5;Fall
