Game;Score;Time;X_position;Cause_of_end
1;256;361;616.5;Enemy
2;588;0;506.125;Time
3;1456;0;1417.25;Time
4;256;377;633.5;Enemy
5;456;215;608.0;Enemy
6;1456;0;1415.0;Time
7;1456;0;1422.625;Time
8;256;334;630.75;Enemy
9;1056;0;1412.875;Time
10;192;338;359.0;Enemy
11;1040;0;1435.125;Time
12;900;0;864.0;Time
13;208;350;352.5;Enemy
14;684;0;864.0;Time
15;568;0;864.25;Time
16;192;278;402.75;Enemy
17;468;0;864.0;Time
18;256;344;634.625;Enemy
19;840;0;1439.0;Time
20;468;0;791.375;Time
21;628;0;1184.0;Time
22;468;0;864.125;Time
23;1156;0;1236.75;Time
24;856;0;1416.125;Time
25;192;268;451.875;Enemy
26;240;383;594.75;Enemy
27;484;0;864.375;Time
28;256;301;617.125;Enemy
29;468;0;864.125;Time
30;612;0;1184.0;Time
31;468;0;864.125;Time
32;668;0;687.5;Time
33;256;340;621.625;Enemy
34;868;0;864;Time
35;224;350;558.75;Enemy
36;224;361;409.75;Enemy
37;452;0;864;Time
38;256;385;638.875;Enemy
39;452;0;864.125;Time
40;256;392;643.0;Enemy
41;468;0;849.625;Time
42;468;0;832.625;Time
43;468;0;864.0;Time
44;440;390;614.75;Enemy
45;668;0;864.125;Time
46;468;0;864.0;Time
47;668;0;863.25;Time
48;1068;0;864.375;Time
49;568;0;864.375;Time
50;668;0;864.25;Time
51;468;0;864.0;Time
52;668;0;863.75;Time
53;668;0;864;Time
54;440;390;607.125;Enemy
55;868;0;864.0;Time
56;868;0;864.125;Time
57;868;0;803.5;Time
58;812;0;1178.375;Time
59;1240;0;1436.75;Time
60;440;390;607.875;Enemy
61;924;0;1204.625;Time
62;176;5;256.875;Enemy
63;0;0;0.875;Time
64;0;0;0.625;Time
65;440;250;611.625;Enemy
66;0;0;77.25;Time
67;0;0;84.625;Time
68;0;0;7.5;Time
69;256;391;632.0;Enemy
70;256;394;645.5;Enemy
71;256;394;649.25;Enemy
72;224;390;585.25;Enemy
73;256;394;645.375;Enemy
74;240;394;645.625;Enemy
75;256;394;646.125;Enemy
76;256;394;644.625;Enemy
77;256;394;649.5;Enemy
78;452;0;864.375;Time
79;240;394;646.5;Enemy
80;256;394;650.25;Enemy
81;256;394;650.25;Enemy
82;256;394;650.25;Enemy
83;256;394;650.25;Enemy
84;256;394;650.25;Enemy
85;256;394;650.25;Enemy
86;256;394;650.25;Enemy
87;256;394;648.5;Enemy
88;256;394;650.25;Enemy
89;256;394;650.25;Enemy
90;256;394;646.875;Enemy
91;256;394;650.25;Enemy
92;256;394;648.25;Enemy
93;256;394;648.875;Enemy
94;256;394;650.25;Enemy
95;256;394;648.875;Enemy
96;256;394;650.25;Enemy
97;256;394;648.375;Enemy
98;256;394;648.875;Enemy
99;256;394;650.25;Enemy
100;256;394;648.375;Enemy
101;256;394;648.875;Enemy
102;256;394;650.25;Enemy
103;256;394;649.25;Enemy
104;256;394;648.375;Enemy
105;256;394;650.25;Enemy
106;256;394;648.375;Enemy
107;256;394;648.5;Enemy
108;256;394;650.0;Enemy
109;256;394;650.25;Enemy
110;256;394;648.375;Enemy
111;256;394;650.0;Enemy
112;256;394;650.25;Enemy
113;256;394;649.5;Enemy
114;256;394;648.875;Enemy
115;256;394;650.25;Enemy
116;256;394;649.375;Enemy
117;256;394;648.375;Enemy
118;256;394;650.125;Enemy
119;256;394;650.25;Enemy
120;256;394;648.875;Enemy
121;256;394;650.25;Enemy
122;256;394;649.5;Enemy
123;256;394;648.875;Enemy
124;256;394;650.125;Enemy
125;256;394;650.25;Enemy
126;256;394;650.0;Enemy
127;256;394;650.25;Enemy
128;456;394;650.25;Enemy
129;456;394;649.5;Enemy
130;440;391;616.25;Enemy
131;240;391;608.75;Enemy
132;440;385;608.0;Enemy
133;824;0;1440.0;Time
134;256;392;650.0;Enemy
135;256;394;650.125;Enemy
136;808;0;1440.0;Time
137;1492;367;2240.0;Fall
138;1292;367;2238.625;Fall
139;1308;366;2240.125;Fall
140;1308;366;2240.0;Fall
141;1308;364;2240.0;Fall
142;1308;366;2240.125;Fall
143;1308;366;2240.0;Fall
144;1308;366;2240.25;Fall
145;1308;366;2240.25;Fall
146;1308;366;2240.375;Fall
147;1308;366;2240.25;Fall
148;1308;366;2240.125;Fall
149;1308;366;2240.125;Fall
150;1308;366;2240.0;Fall
151;1308;366;2239.875;Fall
152;1308;366;2240.0;Fall
153;1308;366;2240.0;Fall
154;1308;366;2240.0;Fall
155;1308;366;2240.0;Fall
156;1308;366;2241.625;Fall
157;1292;367;2235.0;Fall
158;1292;367;2235.375;Fall
159;1308;366;2239.875;Fall
160;1308;366;2240.375;Fall
161;1308;367;2240.125;Fall
162;1308;366;2240.0;Fall
163;1308;366;2240.125;Fall
164;1308;366;2240.125;Fall
165;1308;366;2240.5;Fall
166;1308;366;2240.375;Fall
167;1308;366;2240.5;Fall
168;1108;365;2241.875;Fall
169;1308;366;2240.125;Fall
170;1308;366;2240.5;Fall
171;1308;366;2240.5;Fall
172;1308;366;2240.375;Fall
173;1308;366;2240.375;Fall
174;1308;366;2240.5;Fall
175;2840;158;4023.5;Enemy
176;1308;367;2240.125;Fall
177;1108;365;2240.0;Fall
178;1308;367;2240.0;Fall
179;1308;367;2240.0;Fall
180;1308;367;2240.25;Fall
181;1308;366;2240.125;Fall
182;1508;365;2240.5;Fall
183;1308;366;2240.125;Fall
184;1308;367;2241.625;Fall
185;1008;366;2240.25;Fall
186;1308;367;2240.25;Fall
187;1308;367;2240.0;Fall
188;1308;367;2240.125;Fall
189;1308;367;2240.25;Fall
190;1308;367;2240.0;Fall
191;1308;367;2240.125;Fall
192;1308;367;2240.125;Fall
193;1508;365;2241.625;Fall
194;1308;367;2240.0;Fall
195;1308;367;2240.0;Fall
196;1308;367;2240.25;Fall
197;1308;367;2240.25;Fall
198;1308;367;2240.25;Fall
199;1308;367;2240.25;Fall
200;1508;365;2240.0;Fall
201;1308;367;2240.0;Fall
202;1308;367;2241.625;Fall
203;1308;367;2241.625;Fall
204;1308;367;2240.0;Fall
205;1308;367;2240.0;Fall
206;1308;367;2241.625;Fall
207;1308;367;2240.25;Fall
208;1308;367;2240.125;Fall
209;1308;367;2240.0;Fall
210;1308;367;2240.0;Fall
211;1308;367;2241.625;Fall
212;1308;367;2241.625;Fall
213;1308;367;2240.125;Fall
214;1308;367;2241.625;Fall
215;1308;367;2240.0;Fall
216;1308;367;2240.25;Fall
217;1308;367;2241.625;Fall
218;1308;367;2240.25;Fall
219;19762;295;6528.75;Win
220;0;0;0.75;Time
221;1108;365;2240.25;Fall
222;1308;367;2240.5;Fall
223;1308;367;2240.5;Fall
224;1308;367;2240.5;Fall
225;1308;367;2240.5;Fall
226;1308;367;2239.875;Fall
227;1308;367;2240.5;Fall
228;0;0;0.75;Time
229;0;0;1;Time
230;1508;365;2240.5;Fall
231;1308;367;2240.5;Fall
232;1308;367;2240.5;Fall
233;1308;367;2240.25;Fall
234;1308;367;2240.125;Fall
235;1308;367;2240.5;Fall
236;1308;367;2240.25;Fall
237;1308;367;2240.5;Fall
238;0;0;0.5;Time
239;19362;303;6528.75;Win
240;0;0;0.75;Time
241;1108;365;2240.25;Fall
242;1308;367;2240.5;Fall
243;1308;367;2240.5;Fall
244;1308;367;2240.5;Fall
245;1308;367;2240.5;Fall
246;1308;367;2240.5;Fall
247;1308;367;2240.5;Fall
248;1208;362;2240.5;Fall
249;1308;367;2240.125;Fall
250;1308;367;2240.5;Fall
251;1108;363;2240.25;Fall
252;1308;367;2240.5;Fall
253;20012;292;6528.625;Win
254;1108;365;2240.25;Fall
255;1308;367;2240.5;Fall
256;1308;367;2240.5;Fall
257;1308;367;2240.5;Fall
258;1308;367;2240.5;Fall
259;1308;367;2240.25;Fall
260;1308;367;2240.5;Fall
261;1308;367;2240.5;Fall
262;1292;367;2236.25;Fall
263;1308;262;2240.125;Fall
264;924;0;1217.0;Time
265;0;0;0.5;Time
266;14912;214;6528.125;Win
267;0;0;0.5;Time
268;0;0;0.75;Time
269;0;0;0.75;Time
270;0;0;0.75;Time
271;0;0;0.75;Time
272;0;0;0.75;Time
273;0;0;0.75;Time
274;0;0;0.75;Time
275;0;0;0.75;Time
276;0;0;0.75;Time
277;0;0;0.75;Time
278;0;0;0.75;Time
279;0;0;0.75;Time
280;0;0;0.75;Time
281;0;0;0.75;Time
282;0;0;0.75;Time
283;0;0;0.75;Time
284;0;0;0.75;Time
285;0;0;0.75;Time
286;0;0;0.75;Time
287;0;0;0.75;Time
288;0;0;0.75;Time
