Game;Score;Time;X_position;Cause_of_end
1;1028;0;1001.375;Time
2;276;0;237.875;Time
3;256;250;617.25;Enemy
4;208;57;518.25;Enemy
5;192;23;464.0;Enemy
6;468;0;863.125;Time
7;256;373;626.125;Enemy
8;420;0;537.625;Time
9;768;0;840.625;Time
10;1208;0;1168.0;Time
11;1044;0;1020.75;Time
12;556;0;608.75;Time
13;1256;0;1431.625;Time
14;1356;0;1440.0;Time
15;1440;0;1416.875;Time
16;1256;0;1440.0;Time
17;1228;0;1183.375;Time
18;1276;0;1292.0;Time
19;1488;0;1440.0;Time
20;1156;0;1440.125;Time
21;1456;0;1440;Time
22;192;358;481.625;Enemy
23;1240;0;1440.0;Time
24;1416;0;1792.125;Time
25;1456;0;1440.0;Time
26;456;385;615.75;Enemy
27;1356;0;1440.25;Time
28;956;0;1440.125;Time
29;1616;0;1792.0;Time
30;1816;0;1792.25;Time
31;440;376;613.5;Enemy
32;1840;151;2240.0;Fall
33;1256;0;1440.125;Time
34;1188;0;1440;Time
35;956;0;1440;Time
36;1936;87;2230.5;Fall
37;1056;0;1440.0;Time
38;1240;142;2240.0;Fall
39;1740;186;2236.625;Fall
40;408;385;540.125;Enemy
41;1624;125;2222.0;Fall
42;440;335;612.0;Enemy
43;1664;168;2752.25;Fall
44;2396;184;2811.125;Fall
45;4920;232;4928.25;Fall
46;256;379;613.875;Enemy
47;2280;226;2780.25;Fall
48;192;380;478.875;Enemy
49;424;384;544.75;Enemy
50;2296;272;2797.625;Fall
51;2108;172;3021.5;Enemy
52;1520;129;2432.0;Enemy
53;1896;275;2806.0;Fall
54;1308;341;1356.0;Enemy
55;2396;259;2772.375;Fall
56;1724;327;2224.75;Fall
57;1724;333;2238.375;Fall
58;440;388;614.875;Enemy
59;2080;339;2794.75;Fall
60;1088;344;2428.625;Enemy
61;1380;356;2783.5;Fall
62;2068;199;2532.5;Enemy
63;1788;212;2229.75;Fall
64;1680;293;2803.5;Fall
65;1436;319;2517.875;Enemy
66;1824;310;2238.875;Fall
67;1680;357;2816.25;Fall
