Game;Score;Time;X_position;Cause_of_end
1;956;0;1408.25;Time
2;804;0;578.625;Time
3;668;0;856.25;Time
4;1160;0;1066.875;Time
5;1456;0;1439.75;Time
6;1256;0;1245.875;Time
7;876;0;1311.0;Time
8;48;0;3.5;Time
9;176;0;222.75;Time
10;64;0;9.25;Time
11;0;0;1.0;Time
12;0;0;0.875;Time
13;0;0;1.0;Time
14;256;388;642.125;Enemy
15;0;0;0.75;Time
16;0;0;0.5;Time
17;468;0;863.875;Time
18;128;0;264.125;Time
19;556;0;607.625;Time
20;292;0;480.0;Time
21;112;0;115.75;Time
22;532;0;824.75;Time
23;492;0;326.625;Time
24;1064;0;862.375;Time
25;80;0;166.875;Time
26;1228;0;971.125;Time
27;424;208;379.875;Enemy
28;256;346;626.375;Enemy
29;1356;0;1440.0;Time
30;1500;0;1740.125;Time
31;1308;238;1335.0;Enemy
32;1400;0;1614.0;Time
33;1524;40;2237.0;Fall
34;2596;19;2807.5;Fall
35;424;320;569.75;Enemy
36;256;391;630.25;Enemy
37;2872;135;3166.75;Enemy
38;2412;14;2815.25;Fall
39;2024;150;2243.125;Fall
40;2024;262;2212.875;Fall
41;1488;257;1535.75;Enemy
42;440;390;613.625;Enemy
43;192;284;479.625;Enemy
44;2016;0;1792.125;Time
45;1324;273;2240.125;Fall
46;2124;257;2230.625;Fall
47;1924;209;2233.0;Fall
48;440;390;613.0;Enemy
49;1104;213;1537.625;Enemy
50;1308;259;1351.875;Enemy
51;1504;259;2212.625;Fall
52;192;365;256.875;Enemy
53;1140;0;1374.0;Time
54;1456;0;1440.0;Time
55;812;0;1184.125;Time
56;352;0;864;Time
57;468;0;864;Time
58;468;0;864.125;Time
59;192;364;523.625;Enemy
60;256;379;646.75;Enemy
61;256;370;648.625;Enemy
62;612;0;1184.375;Time
63;256;392;635.5;Enemy
64;240;385;646.0;Enemy
65;240;390;597.0;Enemy
66;256;389;646.0;Enemy
67;256;391;645.625;Enemy
68;452;0;864;Time
69;452;0;764.625;Time
70;208;377;507.375;Enemy
71;256;358;648.25;Enemy
72;256;394;648.125;Enemy
73;352;0;857.375;Time
74;256;390;648.75;Enemy
75;256;394;650.125;Enemy
76;240;394;646.0;Enemy
77;256;394;649.875;Enemy
78;256;394;650.25;Enemy
79;240;394;645.875;Enemy
80;256;394;649.5;Enemy
81;256;394;650.0;Enemy
82;256;394;650.25;Enemy
83;256;394;650.125;Enemy
84;256;394;650.25;Enemy
85;256;394;650.25;Enemy
86;256;394;649.125;Enemy
87;256;394;649.75;Enemy
88;256;394;650.25;Enemy
89;256;394;650.125;Enemy
90;256;394;650.0;Enemy
91;256;394;650.25;Enemy
92;256;394;650.125;Enemy
93;256;394;650.0;Enemy
94;256;394;650.25;Enemy
95;256;394;650.125;Enemy
96;256;394;650.0;Enemy
97;256;394;650.125;Enemy
98;256;394;650.25;Enemy
99;256;394;650.125;Enemy
100;256;394;650.0;Enemy
101;256;394;650.25;Enemy
102;256;394;650.125;Enemy
103;256;394;650.0;Enemy
104;256;394;650.25;Enemy
105;256;394;650.125;Enemy
106;256;394;650.0;Enemy
107;256;394;650.25;Enemy
108;256;394;650.125;Enemy
109;256;394;650.0;Enemy
110;256;394;650.25;Enemy
111;256;394;650.125;Enemy
112;256;394;650.0;Enemy
113;256;394;650.25;Enemy
114;256;394;650.125;Enemy
115;256;394;650.0;Enemy
116;256;394;650.25;Enemy
117;256;394;650.125;Enemy
118;256;394;650.25;Enemy
119;256;394;650.0;Enemy
120;256;394;650.25;Enemy
121;256;394;650.125;Enemy
122;256;394;650.25;Enemy
123;256;394;650.0;Enemy
124;256;394;650.125;Enemy
125;256;394;650.25;Enemy
126;256;394;650.0;Enemy
127;240;393;646.875;Enemy
128;256;394;650.125;Enemy
129;256;394;650.25;Enemy
130;256;394;650.0;Enemy
131;256;394;650.125;Enemy
132;256;394;650.25;Enemy
133;256;394;650.0;Enemy
134;240;385;648.125;Enemy
135;256;394;650.125;Enemy
136;256;394;650.25;Enemy
137;256;394;650.0;Enemy
138;256;394;650.25;Enemy
139;256;394;650.125;Enemy
140;256;394;650.25;Enemy
141;256;394;650.25;Enemy
142;256;394;649.75;Enemy
143;256;394;650.125;Enemy
144;256;394;650.25;Enemy
145;256;394;650.125;Enemy
146;256;394;650.25;Enemy
147;256;394;650.25;Enemy
148;256;394;650.125;Enemy
149;256;394;650.25;Enemy
150;256;394;650.0;Enemy
151;256;394;650.25;Enemy
152;256;394;650.25;Enemy
153;256;394;650.125;Enemy
154;256;394;650.25;Enemy
155;256;394;650.25;Enemy
156;256;394;650.125;Enemy
157;256;394;650.25;Enemy
158;256;394;650.25;Enemy
159;256;394;650.25;Enemy
160;256;394;650.25;Enemy
161;256;394;650.0;Enemy
162;256;394;650.25;Enemy
163;256;394;650.125;Enemy
164;256;394;650.25;Enemy
165;256;394;650.25;Enemy
166;256;394;650.0;Enemy
167;256;394;650.25;Enemy
168;256;394;650.25;Enemy
169;256;394;650.25;Enemy
170;256;394;650.25;Enemy
171;256;394;650.125;Enemy
172;256;394;650.25;Enemy
173;256;394;650.25;Enemy
174;256;394;650.25;Enemy
175;256;394;650.0;Enemy
176;256;394;650.25;Enemy
177;256;394;650.25;Enemy
178;256;394;650.125;Enemy
179;240;391;649.0;Enemy
180;256;394;650.25;Enemy
181;256;394;650.25;Enemy
182;256;394;650.0;Enemy
183;256;394;650.25;Enemy
184;256;394;650.125;Enemy
185;240;392;646.875;Enemy
186;256;394;650.25;Enemy
187;256;394;650.25;Enemy
188;256;394;650.25;Enemy
189;256;394;650.25;Enemy
190;256;394;650.25;Enemy
191;256;394;650.125;Enemy
192;256;394;650.25;Enemy
193;256;394;650.25;Enemy
194;0;0;1.0;Time
