Game;Score;Time;X_position;Cause_of_end
1;484;0;709.625;Time
2;1256;0;1435.125;Time
3;804;0;700.75;Time
4;176;368;358.5;Enemy
5;884;0;824.25;Time
6;468;0;641;Time
7;0;0;0.5;Time
8;0;0;1;Time
9;176;365;271.75;Enemy
10;32;0;1.25;Time
11;0;0;1.25;Time
12;0;0;0.25;Time
13;192;366;277.0;Enemy
14;176;221;314.375;Enemy
15;568;0;643.875;Time
16;568;0;641.375;Time
17;484;0;680.875;Time
18;628;0;1125.0;Time
19;292;0;292.125;Time
20;256;94;634.125;Enemy
21;468;0;655.5;Time
22;336;0;627.125;Time
23;468;0;862.0;Time
24;628;0;1063.875;Time
25;468;0;726.625;Time
26;256;279;626.5;Enemy
27;224;217;531.0;Enemy
28;668;0;864.25;Time
29;256;268;628.0;Enemy
30;256;389;619.5;Enemy
31;240;199;591.125;Enemy
32;256;392;650.0;Enemy
33;468;0;713.0;Time
34;468;0;864.125;Time
35;468;0;864.375;Time
36;660;42;1338.0;Enemy
37;708;0;1440.375;Time
38;724;371;1407.375;Enemy
39;1116;0;1750.375;Time
40;1456;0;1440.25;Time
41;468;0;864.375;Time
42;256;328;628.125;Enemy
43;468;0;864.25;Time
44;256;389;650.5;Enemy
45;256;394;650.25;Enemy
46;256;394;650.25;Enemy
47;256;394;650.25;Enemy
48;256;394;650.25;Enemy
49;256;394;650.25;Enemy
50;256;394;650.25;Enemy
51;256;394;650.25;Enemy
52;256;394;650.25;Enemy
53;256;394;650.25;Enemy
54;256;394;650.25;Enemy
55;256;394;650.25;Enemy
56;256;394;650.25;Enemy
57;256;394;650.25;Enemy
58;256;394;650.25;Enemy
59;256;394;650.25;Enemy
60;256;394;650.25;Enemy
61;256;394;650.25;Enemy
62;256;394;650.25;Enemy
63;256;394;650.25;Enemy
64;256;394;650.25;Enemy
65;256;394;650.25;Enemy
66;256;394;650.25;Enemy
67;256;394;650.25;Enemy
68;256;394;650.25;Enemy
69;256;394;650.25;Enemy
70;256;394;650.25;Enemy
71;256;394;650.25;Enemy
72;256;394;650.25;Enemy
73;256;394;650.25;Enemy
74;256;394;650.25;Enemy
75;256;394;650.25;Enemy
76;256;394;650.25;Enemy
77;256;394;650.25;Enemy
78;256;394;650.25;Enemy
79;256;394;650.25;Enemy
80;256;394;650.25;Enemy
81;256;394;650.25;Enemy
82;256;394;650.25;Enemy
83;256;394;650.25;Enemy
84;256;394;650.25;Enemy
85;256;394;650.25;Enemy
86;256;394;650.25;Enemy
87;256;394;650.25;Enemy
88;256;394;650.25;Enemy
89;256;394;650.25;Enemy
90;256;394;650.25;Enemy
91;256;394;650.25;Enemy
92;256;394;650.25;Enemy
93;256;394;650.25;Enemy
94;256;394;650.25;Enemy
95;256;394;650.25;Enemy
96;256;394;650.25;Enemy
97;256;394;650.25;Enemy
98;256;394;650.25;Enemy
99;256;394;650.25;Enemy
100;256;394;650.25;Enemy
101;256;394;650.25;Enemy
102;256;394;650.25;Enemy
103;256;394;650.25;Enemy
104;256;394;650.25;Enemy
105;256;394;650.25;Enemy
106;256;394;650.25;Enemy
107;256;394;650.25;Enemy
108;256;394;650.25;Enemy
109;256;394;650.25;Enemy
110;256;394;650.25;Enemy
111;256;394;650.25;Enemy
112;256;394;650.25;Enemy
113;256;394;650.25;Enemy
114;256;394;650.25;Enemy
115;256;394;650.25;Enemy
116;256;394;650.25;Enemy
117;256;394;650.25;Enemy
118;256;394;650.25;Enemy
119;256;394;650.25;Enemy
120;256;394;650.25;Enemy
121;256;394;650.25;Enemy
122;256;394;650.25;Enemy
123;256;394;650.25;Enemy
124;256;394;650.25;Enemy
125;256;394;650.25;Enemy
126;256;394;650.25;Enemy
127;256;394;650.25;Enemy
128;256;394;650.25;Enemy
129;256;394;650.25;Enemy
130;256;394;650.25;Enemy
131;256;394;650.25;Enemy
132;256;394;650.25;Enemy
133;256;394;650.25;Enemy
134;256;394;650.25;Enemy
135;256;394;650.25;Enemy
136;256;394;650.25;Enemy
137;256;394;650.25;Enemy
138;256;394;650.25;Enemy
139;256;394;650.25;Enemy
140;256;394;650.25;Enemy
141;256;394;650.25;Enemy
142;256;394;650.25;Enemy
143;256;394;650.25;Enemy
144;256;394;650.25;Enemy
145;256;394;650.25;Enemy
146;256;394;650.25;Enemy
147;256;394;650.25;Enemy
148;256;394;650.25;Enemy
149;256;394;650.25;Enemy
150;256;394;650.25;Enemy
151;256;394;650.25;Enemy
152;256;394;650.25;Enemy
153;256;394;650.25;Enemy
154;256;394;650.25;Enemy
155;256;394;650.25;Enemy
156;256;394;650.25;Enemy
157;256;394;650.25;Enemy
158;256;394;650.25;Enemy
159;256;394;650.25;Enemy
160;256;394;650.25;Enemy
161;256;394;650.25;Enemy
162;256;394;650.25;Enemy
163;256;394;650.25;Enemy
164;256;394;650.25;Enemy
165;256;394;650.25;Enemy
166;256;394;650.25;Enemy
167;256;394;650.25;Enemy
168;256;394;650.25;Enemy
169;256;394;650.25;Enemy
170;256;394;650.25;Enemy
171;256;394;650.25;Enemy
172;256;394;650.25;Enemy
173;256;394;650.25;Enemy
174;256;394;650.25;Enemy
175;256;394;650.25;Enemy
176;256;394;650.25;Enemy
177;256;394;650.25;Enemy
178;256;394;650.25;Enemy
179;256;394;650.25;Enemy
180;256;394;650.25;Enemy
181;256;394;650.25;Enemy
182;256;394;650.25;Enemy
183;256;394;650.25;Enemy
184;256;394;650.25;Enemy
185;256;394;650.25;Enemy
186;256;394;650.25;Enemy
187;256;394;650.25;Enemy
188;1308;367;2240.5;Fall
189;1308;367;2240.5;Fall
190;1308;367;2240.5;Fall
191;1308;367;2240.125;Fall
192;1308;367;2240.5;Fall
193;1308;367;2240.375;Fall
194;1308;367;2240.125;Fall
195;1308;367;2240.375;Fall
196;1308;367;2240.125;Fall
197;1308;367;2240.375;Fall
198;1308;367;2240.125;Fall
199;1308;367;2240.5;Fall
200;1308;367;2240.375;Fall
201;1308;367;2240.125;Fall
202;1308;367;2240.5;Fall
203;1308;367;2240.375;Fall
204;1308;367;2240.5;Fall
205;1308;367;2239.5;Fall
206;1308;367;2240.375;Fall
207;1308;367;2240.5;Fall
208;1308;367;2239.5;Fall
209;1308;367;2240.5;Fall
210;1308;367;2240.0;Fall
211;1308;367;2240.125;Fall
212;824;378;1440.125;Enemy
213;824;378;1440.125;Enemy
214;824;378;1440.125;Enemy
215;824;378;1440.125;Enemy
216;824;378;1440.125;Enemy
217;824;378;1440.125;Enemy
218;824;378;1440.125;Enemy
219;824;378;1440.125;Enemy
220;824;378;1440.125;Enemy
221;1292;366;2228.875;Fall
222;712;0;1184.375;Time
223;1308;367;2240.5;Fall
224;1308;367;2240.5;Fall
225;712;0;1184.375;Time
226;824;378;1440.125;Enemy
227;19296;302;6528.25;Win
228;19346;303;6528.25;Win
229;19346;303;6528.25;Win
230;19346;303;6528.25;Win
231;19346;303;6528.25;Win
232;19346;303;6528.25;Win
233;19346;303;6528.25;Win
234;19346;303;6528.25;Win
235;19346;303;6528.25;Win
236;19346;303;6528.25;Win
237;20764;314;6529.0;Win
238;20764;314;6529.0;Win
239;19330;303;6528.25;Win
240;19346;303;6528.25;Win
241;19346;303;6528.25;Win
242;19280;302;6528.25;Win
243;20714;313;6529.0;Win
244;19330;303;6528.25;Win
245;824;378;1440.125;Enemy
246;824;378;1440.125;Enemy
247;824;378;1440.125;Enemy
248;824;378;1440.125;Enemy
249;1136;364;1682.5;Enemy
250;824;378;1440.125;Enemy
251;19146;297;6528.75;Win
252;1308;367;2240.5;Fall
253;1308;367;2240.5;Fall
254;1308;367;2240.5;Fall
255;1308;367;2240.5;Fall
256;712;0;1184.375;Time
257;824;378;1440.125;Enemy
258;19346;303;6528.25;Win
259;19346;303;6528.25;Win
